Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
Private Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testByChunk",1,2,,
Private Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testByteByByte",1,5,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testCodec105",2,2,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testCodec130",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testMarkSupported",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testRead0",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadNull",1,2,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadNull.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds",1,5,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds.(lambda_expr_1)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds.(lambda_expr_2)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds.(lambda_expr_3)",0,1,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testReadOutOfBounds.(lambda_expr_4)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipBig",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipNone",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipPastEnd",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipToEnd",1,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipWrongArgument",1,2,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testSkipWrongArgument.(lambda_expr_1)",0,1,,
Public Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testStrictDecoding",1,3,,
Lambda Method,"org.apache.commons.codec.binary.Base32InputStreamTest.testStrictDecoding.(lambda_expr_1)",0,1,,
Public Class,"org.apache.commons.codec.binary.Base32OutputStream",0,4,1,1
Public Constructor,"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream",0,1,,
Public Constructor,"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream",0,1,,
Public Class,"org.apache.commons.codec.binary.Base32OutputStreamTest",1,25,1,6
